E	Eg
3.8599936176797794e19	7.555864265637592e164
3.895745615775501e19	1.2095395237092948e165
3.9318287557057544e19	1.9285222953115783e165
3.968246104569486e19	3.061796260052328e165
4.0050007578736026e19	4.837994942415593e165
4.042095839796318e19	7.609959769114648e165
4.079534503452449e19	1.1911561569547286e166
4.117319931161662e19	1.85468547867588e166
4.155455334718879e19	2.872945384906773e166
4.1939439556671775e19	4.4251127144043304e166
4.232789065573562e19	6.778112624240173e166
4.271993966306777e19	1.0321332979703809e167
4.311561990318211e19	1.5619191498317095e167
4.351496500925054e19	2.3493921045734694e167
4.391800892596077e19	3.511194633942966e167
4.43247859124041e19	5.212446994001119e167
4.473533054498463e19	7.687664400956011e167
4.514967772036084e19	1.1260665329154604e168
4.5567862658410684e19	1.6377739194059881e168
4.598992090522429e19	2.365483649234152e168
4.641588833612792e19	3.392379683941215e168
